"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11011","Epay login","firefox","Mon Jul 07 16:43:50 UTC 2025","passed","Mon Jul 07 16:44:01 UTC 2025","","VerifyLogin.spec.js","",""
"","32134","Epay login","chromium","Mon Jul 07 19:19:23 UTC 2025","passed","Mon Jul 07 19:19:55 UTC 2025","","VerifyLogin.spec.js","",""
"","11080","Epay login","webkit","Mon Jul 07 16:43:50 UTC 2025","passed","Mon Jul 07 16:44:01 UTC 2025","","VerifyLogin.spec.js","",""
